,Year,Aboard
77,1989,3643.0
60,1972,3635.0
73,1985,3480.0
61,1973,3433.0
70,1982,3163.0
82,1994,3106.0
62,1974,3064.0
84,1996,3058.0
76,1988,3037.0
80,1992,2965.0
56,1968,2928.0
87,1999,2758.0
66,1978,2722.0
68,1980,2701.0
58,1970,2681.0
65,1977,2662.0
64,1976,2629.0
74,1986,2568.0
59,1971,2567.0
85,1997,2485.0
79,1991,2459.0
67,1979,2457.0
50,1962,2445.0
81,1993,2419.0
78,1990,2396.0
57,1969,2383.0
88,2000,2357.0
71,1983,2352.0
55,1967,2339.0
63,1975,2308.0
75,1987,2220.0
93,2005,2164.0
53,1965,2130.0
83,1995,2112.0
89,2001,2111.0
86,1998,2011.0
48,1960,1914.0
49,1961,1831.0
54,1966,1812.0
90,2002,1798.0
52,1964,1717.0
72,1984,1647.0
46,1958,1633.0
35,1947,1569.0
38,1950,1553.0
69,1981,1550.0
51,1963,1546.0
37,1949,1524.0
91,2003,1508.0
40,1952,1501.0
44,1956,1498.0
34,1946,1498.0
41,1953,1492.0
45,1957,1477.0
96,2008,1463.0
33,1945,1429.0
94,2006,1413.0
95,2007,1364.0
39,1951,1328.0
36,1948,1320.0
47,1959,1249.0
43,1955,1180.0
42,1954,1159.0
92,2004,937.0
97,2009,891.0
32,1944,682.0
31,1943,682.0
26,1938,476.0
30,1942,442.0
25,1937,331.0
24,1936,312.0
29,1941,279.0
23,1935,273.0
21,1933,212.0
28,1940,209.0
27,1939,184.0
18,1930,176.0
22,1934,162.0
17,1929,152.0
16,1928,134.0
5,1917,124.0
19,1931,113.0
4,1916,109.0
10,1922,91.0
20,1932,87.0
11,1923,80.0
15,1927,73.0
9,1921,69.0
13,1925,68.0
6,1918,65.0
3,1915,60.0
2,1913,51.0
14,1926,45.0
8,1920,31.0
12,1924,18.0
1,1912,5.0
7,1919,5.0
0,1908,2.0
